id,sales_amt,qty,discount,profit_amt,order.order_id,order.ship_mode,order.order_status,order.order_purchase_date,order.order_approved_at,order.order_delivered_carrier_date,order.order_delivered_customer_date,order.order_estimated_delivery_date,order.customer.customer_id,order.customer.customer_name,order.customer.segment,order.customer.contact_number,order.customer.address.zip_code,order.customer.address.region,order.customer.address.country,order.customer.address.city,order.customer.address.state,order.vendor.VendorID,order.vendor.Vendor Name,product.product_id,product.product_name,product.colors,product.category,product.sub_category,product.date_added,product.manufacturer,product.sizes,product.upc,product.weight,product.product_photos_qty
2698,261.96,2,0.0,41.9136,CA-2014-145317,Standard Class,delivered,2018-07-11 19:46:00,2018-07-13 15:25,2018-07-23 15:07,2018-07-24 14:58,2018-07-27,SM-20320,Sean Miller,Home Office,02342815792,77070,Central,United States,houston,texas,VEN03,Voyage Enterprises,FUR-BO-10001798,Bush Somerset Collection Bookcase,Pink,Furniture,Bookcases,2016-04-01,null,9,640000000000,null,4
6827,731.94,3,0.0,219.582,CA-2016-118689,Standard Class,delivered,2018-05-15 20:24:00,2018-05-15 20:55,2018-05-29 14:59,2018-06-04 14:42,2018-06-18,TC-20980,Tamara Chand,Corporate,+1 582-201-9277,45011,East,United States,hamilton,ohio,VEN01,Velocity Logistics,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Pink,Furniture,Chairs,2016-11-04,null,"10,7,6,9,8",664000000000,null,2
8154,14.62,2,0.0,6.8714,CA-2017-140151,First Class,delivered,2018-02-28 13:40:00,2018-03-01 13:35,2018-03-02 00:55,2018-04-03 23:31,2018-03-28,RB-19360,Raymond Buch,Consumer,+1 385-724-6492,99207,West,United States,spokane,washington,VEN02,Seaborne Ltd.,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Pink,Office Supplies,Labels,2016-08-01,null,11.5,887000000000,null,3
2624,957.5775,5,0.45,-383.031,CA-2017-127180,First Class,delivered,2018-01-07 21:45:00,2018-01-07 21:57,2018-01-09 22:44,2018-01-30 20:51,2018-02-07,TA-21385,Tom Ashbrook,Home Office,0380281161,10024,East,United States,new york city,new york,VEN01,Velocity Logistics,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Blue,Furniture,Tables,2016-11-15,null,"10.5,10,8.5,8,13",888000000000,null,0
4191,22.368,2,0.2,2.5164,CA-2017-166709,Standard Class,delivered,2018-02-22 00:06:00,2018-02-22 00:30,2018-02-22 22:12,2018-03-08 12:12,2018-03-20,HL-15040,Hunter Lopez,Consumer,+1 582-333-1894,36116,South,United States,montgomery,alabama,VEN03,Voyage Enterprises,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Blue,Office Supplies,Storage,2016-08-01,null,null,604000000000,null,0
9040,48.86,7,0.0,14.1694,CA-2016-117121,Standard Class,delivered,2018-03-23 20:31:00,2018-03-23 22:47,2018-03-26 22:12,2018-04-09 18:58,2018-04-11,AB-10105,Adrian Barton,Consumer,734-475-9974,68104,Central,United States,omaha,nebraska,VEN02,Seaborne Ltd.,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Blue,Furniture,Furnishings,2016-03-02,null,null,814000000000,null,0
4099,7.28,4,0.0,1.9656,CA-2014-116904,Standard Class,delivered,2017-10-04 15:11:00,2017-10-04 15:28,2017-10-04 20:58,2017-10-08 15:58,2017-10-23,SC-20095,Sanjit Chand,Consumer,+1 216-873-5046,90036,West,United States,los angeles,california,VEN04,Johnsons Logistics,OFF-AR-10002833,Newell 322,Blue,Office Supplies,Art,2016-03-12,null,null,null,null,0
4278,907.152,6,0.2,90.7152,US-2016-107440,Standard Class,delivered,2018-02-18 20:49:00,2018-02-18 21:50,2018-02-19 16:57,2018-03-07 00:53,2018-03-14,BS-11365,Bill Shonely,Corporate,+1 202-967-7256,43615,East,United States,toledo,ohio,VEN04,Johnsons Logistics,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Blue,Technology,Phones,2016-11-01,SCRUB ZONE,null,709000000000,null,0
8489,18.504,3,0.2,5.7825,CA-2016-158841,Second Class,delivered,2018-05-16 10:33:00,2018-05-18 04:35,2018-05-18 14:42,2018-05-21 19:28,2018-05-25,SE-20110,Sanjit Engle,Consumer,+1 207-298-2592,43055,East,United States,newark,ohio,VEN02,Seaborne Ltd.,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Blue,Office Supplies,Binders,2016-11-15,null,13,887000000000,null,6
6426,114.9,5,0.0,34.47,CA-2016-143714,Standard Class,delivered,2018-04-05 22:48:00,2018-04-05 23:08,2018-04-06 23:57,2018-04-24 22:36,2018-05-02,CC-12370,Christopher Conant,Consumer,+1 582-262-0976,90049,West,United States,los angeles,california,VEN01,Velocity Logistics,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Blue,Office Supplies,Appliances,2016-03-25,null,null,762000000000,null,2
2506,1706.184,9,0.2,85.3092,CA-2014-143917,Second Class,delivered,2017-12-01 12:43:00,2017-12-02 18:57,2017-12-05 03:10,2017-12-15 15:25,2017-12-28,KL-16645,Ken Lonsdale,Consumer,+1 582-333-4082,17602,East,United States,lancaster,pennsylvania,VEN02,Seaborne Ltd.,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Blue,Furniture,Tables,2016-03-04,null,null,884000000000,null,3
166,911.424,4,0.2,68.3568,CA-2014-139892,Standard Class,delivered,2018-05-17 16:44:00,2018-05-18 13:55,2018-05-22 06:18,2018-06-04 18:11,2018-06-07,BM-11140,Becky Martin,Consumer,+1 505-633-4581,59405,West,United States,great falls,montana,VEN05,Seahawk Logistics,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Blue,Technology,Phones,2016-10-05,asics,null,888000000000,null,3
684,15.552,3,0.2,5.4432,US-2017-168116,Same Day,delivered,2018-06-14 17:20:00,2018-06-14 17:40,2018-06-15 13:05,2018-06-18 21:22,2018-06-28,GT-14635,Grant Thornton,Corporate,+1 217-999-9187,22204,South,United States,arlington,virginia,VEN04,Johnsons Logistics,OFF-PA-10002365,Xerox 1967,Blue,Office Supplies,Paper,2016-03-03,null,null,48503313173,null,5
6627,407.976,3,0.2,132.5922,CA-2014-145541,Standard Class,delivered,2017-11-27 11:34:00,2017-11-27 11:54,2017-11-29 21:07,2017-12-27 18:25,2017-12-15,TB-21400,Tom Boeckenhauer,Consumer,+1 313-269-2209,85204,West,United States,mesa,arizona,VEN02,Seaborne Ltd.,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Blue,Office Supplies,Binders,2016-10-28,SPERRY,null,647000000000,null,0
510,68.81,5,0.8,-123.858,CA-2015-145352,Standard Class,delivered,2017-08-28 14:43:00,2017-08-28 14:55,2017-08-29 22:03,2017-09-01 20:19,2017-09-14,CM-12385,Christopher Martinez,Consumer,+1 219-879-8323,39503,South,United States,gulfport,mississippi,VEN02,Seaborne Ltd.,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Blue,Office Supplies,Appliances,2016-03-11,null,null,null,null,6
6521,2.544,3,0.8,-3.816,CA-2017-138289,Second Class,delivered,2018-02-22 19:52:00,2018-02-22 20:09,2018-02-26 19:19,2018-03-08 20:14,2018-03-16,AR-10540,Andy Reiter,Consumer,231-463-1551,10701,East,United States,yonkers,new york,VEN05,Seahawk Logistics,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Blue,Office Supplies,Binders,2017-01-20,Hush Puppies,12 M,636000000000,null,2
7667,665.88,6,0.0,13.3176,US-2016-140158,Standard Class,delivered,2018-05-19 18:08:00,2018-05-19 18:32,2018-05-21 14:33,2018-05-25 14:26,2018-06-07,DR-12940,Daniel Raglin,Home Office,+1 217-215-7575,10024,East,United States,new york city,new york,VEN03,Voyage Enterprises,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Blue,Office Supplies,Storage,2016-11-04,Ryka,"6W,7.5W,9W,8.5M,9M,9.5M,10W,10.5M,8.5W,7.5M,7M,9.5W,10M,10.5W,5M,8W,5.5M,11W,8M,6.5M,6,6M,11M,6.5W,7W",null,null,4
6341,55.5,2,0.0,9.99,CA-2017-143112,Standard Class,delivered,2018-06-03 23:22:00,2018-06-05 04:51,2018-06-05 08:01,2018-06-11 12:26,2018-07-17,TS-21370,Todd Sumrall,Corporate,+1 405-206-2162,38671,South,United States,southaven,mississippi,VEN03,Voyage Enterprises,OFF-ST-10000107,Fellowes Super Stor/Drawer,Pink,Office Supplies,Storage,2016-03-09,null,null,null,null,2
8859,8.56,2,0.0,2.4824,CA-2017-135909,Standard Class,delivered,2018-04-08 08:35:00,2018-04-08 08:50,2018-04-10 22:52,2018-04-11 15:17,2018-04-20,JW-15220,Jane Waco,Corporate,+1 425-568-0986,94110,West,United States,san francisco,california,VEN01,Velocity Logistics,OFF-AR-10003056,Newell 341,Pink,Office Supplies,Art,2017-01-12,Alfani,"10,11,5.5,7.5,8.5,9,9.5",689000000000,null,0
5885,213.48,3,0.2,16.011,CA-2016-136301,Second Class,shipped,2017-01-21 11:43:00,2017-01-24 03:42,2017-01-24 10:16,null,2017-03-08,EH-13765,Edward Hooks,Corporate,+1 582-583-9877,98115,West,United States,seattle,washington,VEN02,Seaborne Ltd.,TEC-PH-10001949,Cisco SPA 501G IP Phone,Pink,Technology,Phones,2016-03-21,null,null,null,null,3
8991,22.72,4,0.2,7.384,US-2015-128587,Standard Class,delivered,2018-06-12 13:09:00,2018-06-12 13:43,2018-06-14 13:47,2018-06-22 15:39,2018-07-16,HM-14860,Harry Marie,Corporate,+1 505-974-9862,84604,West,United States,provo,utah,VEN05,Seahawk Logistics,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Pink,Office Supplies,Binders,2017-01-17,null,null,843000000000,null,0
1086,19.46,7,0.0,5.0596,US-2016-143819,Standard Class,delivered,2018-02-26 15:21:00,2018-02-26 15:35,2018-02-27 20:18,2018-03-05 21:26,2018-03-16,KD-16270,Karen Daniels,Consumer,+1 503-886-5372,23223,South,United States,richmond,virginia,VEN03,Voyage Enterprises,OFF-AR-10000246,Newell 318,Blue,Office Supplies,Art,2016-11-15,Puma,"8.5,7,11,12",889000000000,null,0
4219,60.34,7,0.0,15.6884,CA-2017-149881,First Class,delivered,2017-06-30 13:36:00,2017-07-01 04:55,2017-07-03 15:37,2017-07-13 20:22,2017-07-24,NC-18535,Nick Crebassa,Corporate,+1 582-282-6783,53209,Central,United States,milwaukee,wisconsin,VEN02,Seaborne Ltd.,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Blue,Office Supplies,Appliances,2016-10-05,N.Y.L.A.,null,782000000000,null,0
1804,71.372,2,0.3,-1.0196,CA-2017-158379,Second Class,delivered,2018-04-09 13:36:00,2018-04-09 13:51,2018-04-11 17:52,2018-05-03 15:37,2018-05-04,JA-15970,Joseph Airdo,Consumer,+1 216-628-1486,98103,West,United States,seattle,washington,VEN03,Voyage Enterprises,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Pink,Furniture,Chairs,2016-03-12,null,null,null,null,0
8205,1044.63,3,0.0,240.2649,CA-2015-114811,Same Day,delivered,2018-01-04 18:10:00,2018-01-04 18:28,2018-01-08 21:00,2018-01-09 22:44,2018-01-22,KD-16495,Keith Dawkins,Corporate,+1 515-265-3829,31907,South,United States,columbus,georgia,VEN02,Seaborne Ltd.,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Blue,Furniture,Tables,2016-11-15,null,"10.5,10,8.5,8,13",888000000000,null,0
2493,11.648,2,0.2,4.2224,CA-2014-144624,Standard Class,delivered,2018-08-21 17:44:00,2018-08-21 17:55,2018-08-28 19:02,2018-08-29 16:54,2018-08-30,JM-15865,John Murray,Consumer,+1 582-333-5502,8360,East,United States,vineland,new jersey,VEN05,Seahawk Logistics,OFF-BI-10001634,Wilson Jones Active Use Binders,Blue,Office Supplies,Binders,2016-02-02,null,null,887000000000,null,2
7819,90.57,3,0.0,11.7741,CA-2016-138478,Second Class,delivered,2017-01-16 13:17:00,2017-01-18 09:35,2017-01-20 07:13,2017-01-25 11:00,2017-03-09,DP-13390,Dennis Pardue,Home Office,+1 347-803-0088,98115,West,United States,seattle,washington,VEN03,Voyage Enterprises,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Pink,Technology,Accessories,2016-08-27,SNEED,null,null,599 g,0
7773,3083.43,7,0.5,-1665.0522,CA-2016-108196,Standard Class,delivered,2017-05-18 17:25:00,2017-05-20 04:22,2017-05-22 07:55,2017-05-29 04:44,2017-06-16,CS-12505,Cindy Stewart,Consumer,+1 318-224-7918,77036,Central,United States,houston,texas,VEN05,Seahawk Logistics,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Pink,Furniture,Bookcases,2016-11-15,null,10,888000000000,null,0
9166,9.618,2,0.7,-7.0532,CA-2016-100300,Second Class,delivered,2018-04-24 23:12:00,2018-04-24 23:29,2018-04-25 14:18,2018-05-10 00:37,2018-05-21,MJ-17740,Max Jones,Consumer,+1 309-518-6925,38109,South,United States,memphis,tennessee,VEN05,Seahawk Logistics,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Blue,Office Supplies,Binders,2016-04-10,null,8.5,98091979022,null,2
7244,124.2,3,0.2,15.525,CA-2017-118892,Second Class,delivered,2018-07-03 10:30:00,2018-07-05 16:40,2018-07-03 13:12,2018-07-04 22:42,2018-07-16,TP-21415,Tom Prescott,Consumer,+1 320-511-1041,90036,West,United States,los angeles,california,VEN02,Seaborne Ltd.,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Blue,Furniture,Furnishings,2016-04-14,null,null,155000000000,null,2
9742,3.264,2,0.2,1.1016,CA-2015-117086,Standard Class,delivered,2018-03-28 16:16:00,2018-03-30 03:08,2018-04-02 22:21,2018-04-03 15:04,2018-04-10,QJ-19255,Quincy Jones,Corporate,+1 206-578-2372,33065,South,United States,coral springs,florida,VEN02,Seaborne Ltd.,OFF-EN-10001509,Poly String Tie Envelopes,Blue,Office Supplies,Envelopes,2016-11-15,New Balance,"7,7.5,15,11.5,8,13,14,12.5,9",890000000000,null,6
